Id,Label,name,friendsCount,followersCount
1353600000000000000,RAbdaldaiem,Rania Abdaldaiem,209,85
1561610000000000000,surajrawal9268,suraj singh rawal,53,1
1564790000000000000,AjayCha53015185,Ajay Chaudhary,7,6
1468800000000000000,LuckyStar0725,Terri Marchese,1469,308
1533670000000000000,NabarathBaniya,Nabarath Baniya PhD,510,246
1543190000000000000,Bluetick_dhari,Hakam Singh Returns,829,453
1547150000000000000,SonaliA80524524,Sonali Akter,563,80
1550130000000000000,azadsinghkumar9,Azad Kumar,17,0
1545390000000000000,MohdJun02632795,Mohd Junaid,23,0
1256480000000000000,SaffanK27853707,DRx Saffan idrishi,217,45
1548720000000000000,SamNegi1601,Sam Negi,11,1
1548680000000000000,WhiteBella19,White Bella,246,69
3310109835,tapsmkanya,Tapiwa Chadoka,304,144
1542150000000000000,opbhatia70,Red Cross Mandi Himachal Pradesh,19,3
3175088816,bishtrajendra91,rajendra bisht,4986,2078
1299050000000000000,Shrimansi12,Shrimansi,492,56
890205000000000000,RkRaaz20,Rajnish K Sharma,5001,894
520450963,Hardeepchauhan3,HA®️I चौहान,1626,2006
1247060000000000000,anjaankvi,🍁कमल कवि काण्डपाल ✍🍁,709,447
1542190000000000000,KateMor84154825,Kate Morgan,370,23
1539840000000000000,sharadk2124,sharad kamble,96,1
1312710000000000000,DeepuGiri_12,दीपक गिरी ABVP,149,198
1097198922,Me_MimiFanatic,kumauni_chora,758,95
1537730000000000000,Lokeshsingh199,Lokesh singh panwar,28,2
925652156,kediromarICRC,Kedir Awol Omar,207,289
978564000000000000,alexander20813,Alexander M cherian,1050,62
1172390000000000000,redcrossgujarat,Red Cross Gujarat,158,146
1363140000000000000,WeatherPlus4,WeatherPlus,395,561
548209627,FinnJarleRode,Finn Jarle Rode,660,330
1390160000000000000,redcrescent_tj,Red Crescent Society of Tajikistan (RCST),840,866
795158000000000000,Aadi_9tiyal,Aadi Nautiyal,86,37
1498760000000000000,Priyansh3028,Priyanshu Singh Samant,35,1
2898582644,ranaram700,Ranaram kashniya सरपंच खारामहेचान,2467,1687
1526950000000000000,tiya_chatterji,Tiya chatterji (@marinemozart),59,28
1368410000000000000,DrRamanSharma8,Dr Raman Sharma,4504,3929
1512320000000000000,RaichurRedcross,redcross raichur,60,12
950255000000000000,ManawwarV,Manawwar,637,576
822439000000000000,DivyanshBhatt10,Divyansh Bhatt,490,182
862593000000000000,skchaudhary0527,Shivam,472,105
875707000000000000,_aryansingh44,A (Paradise Edition),78,61
2271192656,SungroupTushar,Tushar Thakkar,383,63
1014580000000000000,whoseven277,Mast Qalander,430,81
797669000000000000,kali_denali_,Maya,1858,354
1013620000000000000,ashis_goyal,Quarky Neutrino (Detachment_arc),89,50
1500910000000000000,C26911139Mayank,Branla singh,597,45
1498150000000000000,akshita_rabdiya,Akshita Rabdiya,20,1
1495770000000000000,NARENDR81534438,NARENDRA BHATT,126,0
1492220000000000000,rakesh_preety,Rakesh rawat,5,1
1108070000000000000,shubham_punetha,shubham punetha,143,9
3269767382,yochuphal,yogesh chuphal,154,76
2741469045,IamAmitRawt,Amit singh Rawat,75,90
1621390000000000000,INAYATHSHAIK16,INAYATH SHAIK,331,10
1494660000000000000,BomahdiSmail,Smail bomahdi,137,8
1616740000000000000,NirajKu67851805,Niraj Kumar Niraj,101,10
1609940000000000000,JacklineApolo,Jackline Apolo,160,13
1565000000000000000,NinaRah95706250,Nina Rahman,143,24
1468600000000000000,MohsenYasir1,MohsenYasir,244,21
1596380000000000000,Goshamahal1234,Goshamahal Assembly,1414,384
1595190000000000000,AschlyLouis,Aschly Jean Louis,110,13
1599690000000000000,Mohmoudd0,Mohmoud Kalef,458,114
1599090000000000000,DismasDesdery,ℴ𝒻𝒻𝒾𝒸𝒾𝒶𝓁 𝒹 𝒷ℴ𝓎𝒯𝓏,337,236
1595030000000000000,crown_jessie,Mary Crown Jessie,417,51
1244330000000000000,Athena21620181,Athena,16257,19582
1542470000000000000,Benyoussef1508,Ben youssef Mohamed,290,32
1312090000000000000,CharydasD,Nameis chary 🚩🚩,4723,1478
1566360000000000000,BellaDonald09,Bella Donald,634,58
2837537178,VENKATESHsita,Venkatesh,173,15
1460920000000000000,An9News,AN9NEWS,1783,81
1580520000000000000,innocent_tirogo,Innocent TIROGO,233,54
523302259,FMARTELGON,MARTEL,48550,44213
1577000000000000000,MunirSabiha,Sabiha Munir,108,17
1265480000000000000,MPTCSharadhaBRS,Sharadha anjaneyulu MPTC,1322,578
1503230000000000000,ManappaSanjeev1,M Roopa,69,7
72014136,poetdesaraju,desaraju,1530,297
1449800000000000000,AlluriNagender,Nagender Alluri,281,20
1284520000000000000,Ishika61748807,AISHU_Sammu`°°°💑 Yashoda,161,1160
1427630000000000000,Sravani95162959,Sravani Reddy,193,65
1214040000000000000,AsifR26833413,Asif R,56,0
1148210000000000000,Harish22337540,Harish,71,0
1076460000000000000,HasratK26191236,Hasrat Khan,69,3
864064000000000000,Mohdriyaz99963,Mohdriyaz.99963.@gma,26,0
1575668340,LateefSaad,Mohammad Lateef,31,7
711694000000000000,Bhayaz2,Bhayaz,27,2
4834002239,actressez,♡Actress HD Gallery♡,1919,1963
4696635319,Bdo95WKeWqrxcW5,9989305554,151,10
22598822,ShaadiDotCom,Shaadi.com,35099,99970
4497932534,mkaleem366,moonvision,57,6
4273272923,rajagopal99661,rajagopal,80,15
4222088603,GvAditya2,Gv Aditya,51,49
